start_station_name,start_station_id,avg_lat,avg_lng,total_trips,member_trips,casual_trips,peak_departures,peak_net_outflow,peak_outflow_rate,total_rebalancing_needed,rebalancing_cost
Christopher St & Greenwich St,5847.01,40.73291553,-74.00711384,40781,34104,6677,8382.0,4661.0,0.556072536387497,9499.0,19947.9
West St & Liberty St,5184.08,40.711444,-74.014847,40459,31481,8978,5788.0,-1317.0,-0.2275397373876987,6647.0,13958.7
W 15 St & 6 Ave,5989.02,40.738046142482766,-73.99642959237099,40378,35621,4757,6843.0,449.0,0.0656144965658337,7447.0,15638.7
W 4 St & 7 Ave S,5880.02,40.73401143,-74.00293877,39975,32866,7109,4487.0,1663.0,0.3706262536215734,7567.0,15890.7
W 27 St & 7 Ave,6257.06,40.74665,-73.99392,39722,34868,4854,5889.0,-1807.0,-0.3068432671081678,7217.0,15155.7
Bleecker St & Crosby St,5679.08,40.72615604980408,-73.99510189890862,39598,33730,5868,4856.0,-1282.0,-0.26400329489291596,7484.0,15716.400000000001
Lafayette St & Jersey St,5561.06,40.72456089,-73.99565293,39582,33730,5852,3426.0,-3322.0,-0.9696438995913602,8434.0,17711.4
6 Ave & W 34 St,6364.10,40.74964,-73.98805,39528,31544,7984,5421.0,234.0,0.04316546762589928,12831.0,26945.100000000002
Amsterdam Ave & W 73 St,7260.09,40.77966809007312,-73.98093044757842,39372,34909,4463,5910.0,2576.0,0.4358714043993232,8243.0,17310.3
W 22 St & 10 Ave,6306.06,40.74691959,-74.00451887,39241,34207,5034,5420.0,1087.0,0.20055350553505535,7295.0,15319.5
E 43 St & Madison Ave,6551.11,40.75354681867074,-73.97896572947502,39190,34605,4585,9172.0,-3624.0,-0.3951155691234191,8285.0,17398.5
9 Ave & W 22 St,6266.06,40.7454973,-74.00197139,38491,34655,3836,5992.0,2705.0,0.45143524699599463,8168.0,17152.8
W 37 St & 10 Ave,6611.02,40.75660359,-73.9979009,38325,34171,4154,5940.0,1235.0,0.2079124579124579,7271.0,15269.1
Metropolitan Ave & Bedford Ave,5308.04,40.71534825,-73.96024116,38087,32028,6059,4420.0,14.0,0.003167420814479638,5852.0,12289.2
N 6 St & Bedford Ave,5379.10,40.71745169,-73.95850939,37764,32269,5495,4006.0,-707.0,-0.1764852720918622,14153.0,29721.300000000003
W 34 St & Hudson Blvd E,6535.04,40.75516719072139,-74.00059908628464,37665,31607,6058,4465.0,-3854.0,-0.8631578947368421,9674.0,20315.4
Hanson Pl & Ashland Pl,4395.07,40.68506807308177,-73.97790759801863,37528,31437,6091,5195.0,-844.0,-0.16246390760346488,5761.0,12098.1
Forsyth St & Grand St,5382.07,40.71779817737835,-73.99316132068634,37417,33009,4408,4002.0,-1376.0,-0.34382808595702147,6467.0,13580.7
2 Ave & E 29 St,6122.09,40.741723510974715,-73.97809267044067,37335,32622,4713,6049.0,866.0,0.14316415936518434,6557.0,13769.7
10 Ave & W 28 St,6459.04,40.75066386,-74.00176802,37296,32155,5141,5833.0,-808.0,-0.13852220126864392,7214.0,15149.400000000001
S 2 St & Kent Ave,5276.04,40.714731,-73.966612,37286,31529,5757,6347.0,-368.0,-0.05798014810146526,5131.0,10775.1
Cooper Square & Astor Pl,5712.03,40.72951496224949,-73.99075269699097,37136,32599,4537,4276.0,-3067.0,-0.7172591206735267,8275.0,17377.5
Central Park S & Grand Army Plaza,6839.15,40.764555,-73.973473,36658,21181,15477,2490.0,-6742.0,-2.7076305220883534,11447.0,24038.7
E 32 St & Park Ave,6280.12,40.7457121,-73.98194829,36588,32727,3861,8282.0,-1897.0,-0.2290509538758754,6744.0,14162.400000000001
